Name,"Global [1] (24/09/2021) - used fst.idx realsfs,no filter","Global [2] (24/09/2021) - used fst.idx realsfs,no filter","Averaged (24/09/2021) - used joined file, so filtered",Distance (number of steps)
TER.BOD,0.000001,-0.000068,-0.000209884,1
TER.SAN,0.000015,-0.000022,-0.000116858,2
TER.CAP,-0.000003,-0.000281,-0.000221396,3
TER.LOM,-0.000004,-0.000175,-0.00028183,1
TER.KIB,-0.000002,-0.000014,-0.000186666,2
TER.FOG,0.000034,-0.000487,-0.000301326,4
FOG.KIB,0.000017,-0.000405,-0.000270373,2
FOG.CAP,-0.000007,-0.000645,-0.000394932,1
FOG.BOD,0.000006,-0.000431,-0.000367519,3
FOG.SAN,0.000026,-0.000394,-0.00022969,6
FOG.LOM,0.000008,-0.000503,-0.000478753,5
SAN.CAP,0.000008,-0.000217,-0.000155504,5
SAN.BOD,0.000014,-0.000019,-0.000174234,3
SAN.KIB,0.00002,0.000064,-0.000126639,4
SAN.LOM,0.000012,-0.000058,-0.000196632,1
LOM.CAP,-0.000007,-0.000284,-0.000243085,4
LOM.KIB,0.000002,-0.000019,-0.000253485,3
LOM.BOD,-0.000004,-0.000081,-0.000269028,2
CAP.KIB,-0.000004,-0.000245,-0.000296144,1
CAP.BOD,-0.000006,-0.000275,-0.000276241,2
BOD.KIB ,-0.000002,-0.000008,-0.000274729,1
