"Peaks significantly differentially enriched (DESeq2 nominal p < 0.1) in control, whole embryos compared to U0126-treated, PMC-minus embryos. Column 1: DNase-seq Peak Name: peak number, obtained from DNase-seq RPS peak names.",,,,,,,,
DNase Peak Name,Scaffold,Start,End,baseMean,log2FoldChange,lfcSE,stat,pvalue
50645,Scaffold198,299072,301975,162.8891138,1.535195859,0.195027666,7.871682458,3.50E-15
32611,Scaffold156,545050,549658,336.5780673,0.767013816,0.142228516,5.392827236,6.94E-08
108615,Scaffold464,295315,300701,476.5496306,0.646076915,0.131437602,4.915464876,8.86E-07
66235,Scaffold243,619514,621818,94.50773767,0.912285626,0.194858593,4.681782893,2.84E-06
124511,Scaffold6,526243,539136,676.1054019,0.841619842,0.180703363,4.657466398,3.20E-06
124899,Scaffold602,133782,145338,1086.822053,0.634688328,0.138284529,4.589727647,4.44E-06
148737,Scaffold88,186246,197870,953.0922967,0.517425141,0.113287575,4.567360023,4.94E-06
117403,Scaffold535,29093,45226,389.9325275,0.782990211,0.18449218,4.24402927,2.20E-05
51976,Scaffold20,1367193,1369632,129.7700136,0.840029628,0.198886876,4.223655399,2.40E-05
66766,Scaffold2444,136091,136788,22.17873122,1.005302377,0.243606559,4.126745941,3.68E-05
148741,Scaffold88,206563,212248,381.3433661,0.568779268,0.139077613,4.08965365,4.32E-05
130194,Scaffold652,51271,52619,49.39810332,0.906447799,0.225194725,4.025173316,5.69E-05
6053,Scaffold1083,295738,296265,16.45480604,0.967522197,0.241900053,3.999677493,6.34E-05
50620,Scaffold198,189113,190935,57.96109088,0.848229964,0.213319148,3.976342354,7.00E-05
48661,Scaffold192,868869,869329,11.82567634,0.933318434,0.236206729,3.951277926,7.77E-05
98302,Scaffold388,169989,171016,27.66369424,0.946665291,0.240987947,3.928268216,8.56E-05
135535,Scaffold706,247440,248390,32.79436903,0.894966099,0.236770903,3.779882097,0.000156903
66232,Scaffold243,600247,606551,710.7766879,0.521776951,0.139847483,3.73104285,0.000190689
32609,Scaffold156,541208,543277,87.19635651,0.76192066,0.205203155,3.713006556,0.000204812
124502,Scaffold6,498428,507468,197.9547242,0.753196394,0.202938866,3.711444783,0.00020608
81494,Scaffold3,2000073,2001490,47.60110532,0.84670871,0.229158191,3.694865568,0.000220003
141274,Scaffold78,421446,422611,128.0985021,0.65045442,0.178376751,3.646520169,0.000265816
57665,Scaffold2167,125513,126598,47.19836465,0.830277037,0.22770019,3.646360761,0.00026598
130210,Scaffold652,113164,114158,29.64376165,0.876258766,0.242055571,3.620072707,0.00029452
10076,Scaffold115,306962,309355,197.8260034,0.605300938,0.167504687,3.613635825,0.000301933
93934,Scaffold36,455096,456374,40.4987723,0.841848175,0.234348848,3.592286374,0.000327789
124189,Scaffold597,599480,600749,47.7795836,0.812356316,0.226637739,3.584382369,0.000337877
99819,Scaffold397,417552,420579,285.6319656,0.515143554,0.144468999,3.565772304,0.000362786
116224,Scaffold521,8,1593,181.5425999,0.642828258,0.182198015,3.528184753,0.00041842
9421,Scaffold114,310263,318750,412.4511682,0.464025293,0.131668814,3.524185262,0.000424787
110721,Scaffold48,125180,134908,763.913708,0.420517931,0.119992418,3.504537516,0.000457401
51978,Scaffold20,1374821,1376110,63.51302953,0.743395367,0.213693357,3.478794935,0.000503674
137987,Scaffold739,240302,240843,28.7476998,0.835302042,0.240867697,3.467887364,0.000524567
25835,Scaffold142,645057,646508,42.00760926,0.793863721,0.229386527,3.460812336,0.000538548
61474,Scaffold2283,113802,115033,56.53550698,0.747452267,0.216448238,3.453261039,0.000553853
11222,Scaffold117,218804,223909,336.3959941,0.476441252,0.138080132,3.450469273,0.000559613
67480,Scaffold247,391666,392443,23.8664275,0.836920445,0.243239353,3.440727965,0.000580151
126206,Scaffold615,93662,95098,78.35459161,0.686965117,0.199669948,3.440503312,0.000580633
66240,Scaffold243,627620,628530,36.18248287,0.807549842,0.235353987,3.43121377,0.000600887
66238,Scaffold243,625440,626660,42.09561265,0.807979078,0.237577622,3.400905661,0.00067163
81563,Scaffold3,2295286,2296772,52.31306686,0.737551072,0.220717698,3.341603671,0.000832959
2759,Scaffold1030,64118,69296,300.6150535,0.484327969,0.145418652,3.330576661,0.000866663
61149,Scaffold227,571288,573699,99.82230951,0.624653559,0.188068089,3.321422384,0.000895599
10705,Scaffold116,682635,685212,527.964715,0.467197549,0.141125835,3.310503351,0.000931283
46593,Scaffold1878,74015,74593,19.26255139,0.802105513,0.243659927,3.291905745,0.00099511
66763,Scaffold2444,117370,123880,763.0999864,0.515475289,0.156974696,3.283811346,0.001024135
7636,Scaffold111,171343,173173,54.22393737,0.721019619,0.220293175,3.273000265,0.001064124
61150,Scaffold227,573792,577003,189.1394799,0.527636341,0.161372617,3.269677038,0.001076703
78951,Scaffold29,739014,739515,12.85124259,0.771813946,0.236393845,3.264949408,0.001094836
3761,Scaffold1049,109474,110713,37.91380933,0.761388561,0.233720383,3.257690033,0.00112323
50199,Scaffold1964,64949,66177,66.15728582,0.720334778,0.221136698,3.257418532,0.001124305
108617,Scaffold464,302144,304626,92.47281284,0.622339409,0.191407958,3.251376872,0.001148475
66228,Scaffold243,593737,594256,16.11534042,0.783209705,0.241073278,3.248844965,0.001158746
8419,Scaffold1122,126195,126804,14.47409979,0.780371871,0.240818315,3.240500508,0.001193201
100535,Scaffold40,774696,775390,17.37833807,0.784705916,0.242440374,3.236696522,0.001209219
29605,Scaffold15,881972,882789,27.68127207,0.783386462,0.242257765,3.233689794,0.001222021
90811,Scaffold343,125102,125981,31.8742299,0.772469321,0.239798493,3.221326841,0.001275985
4733,Scaffold1063,405289,406326,44.11197912,0.745802374,0.231551237,3.220895667,0.001277907
46580,Scaffold1878,16710,17021,7.446506865,0.703416326,0.218468294,3.219763894,0.001282962
50899,Scaffold1985,129439,131096,47.49618527,0.736903127,0.228944809,3.218693319,0.001287761
142780,Scaffold8,567971,568985,35.7866774,0.74988593,0.2360539,3.17675722,0.001489317
50903,Scaffold1985,143151,143866,22.43662857,0.772609714,0.243660404,3.1708464,0.001519955
92800,Scaffold353,389830,392468,310.9154742,0.451391924,0.142478106,3.168149384,0.001534127
40655,Scaffold174,171636,174910,101.166882,0.673106586,0.213284058,3.155916074,0.001599949
129132,Scaffold640,186814,188256,46.55447843,0.720646797,0.2300681,3.132319497,0.00173431
72085,Scaffold263,243671,245882,130.2770086,0.557320476,0.178340053,3.125043794,0.001777786
1641,Scaffold1010,188742,189624,27.21640804,0.7517697,0.242474857,3.100402691,0.001932577
140384,Scaffold769,134234,134735,15.7256648,0.745985484,0.241358501,3.090777747,0.00199633
16281,Scaffold1253,101505,102370,33.62963975,0.73037579,0.236625251,3.086635038,0.00202436
116123,Scaffold520,402562,405504,257.168851,0.465070589,0.150882307,3.082340121,0.0020538
15121,Scaffold123,731191,732496,49.01410692,0.699859144,0.227800892,3.072240579,0.002124584
18906,Scaffold1297,207721,207957,7.677788484,0.671313736,0.219675957,3.055927217,0.002243657
66243,Scaffold243,636337,637083,35.83798182,0.728468101,0.238511643,3.054224482,0.002256432
124512,Scaffold6,539544,546533,105.1976656,0.599480365,0.196683645,3.047942114,0.002304143
51984,Scaffold20,1387622,1389284,150.5002834,0.54606964,0.179294926,3.045650274,0.002321777
66234,Scaffold243,617016,619396,206.363767,0.491671109,0.161638473,3.041795059,0.00235172
145135,Scaffold83,192645,194020,39.77953764,0.702866203,0.231342059,3.038211929,0.002379865
65312,Scaffold240,137424,138117,26.25550487,0.728507885,0.240327659,3.031311038,0.002434943
65321,Scaffold240,196847,197502,26.68838746,0.729577827,0.240987565,3.027450099,0.002466264
8183,Scaffold1119,166303,167927,59.10748217,0.657029268,0.217094614,3.026465077,0.002474314
46592,Scaffold1878,70929,71591,19.196965,0.73395492,0.242554064,3.025943614,0.002478585
2331,Scaffold1026,47551,48270,26.1372191,0.728396042,0.241289319,3.018766198,0.002538063
48668,Scaffold192,895866,896806,28.32197733,0.720908468,0.238882817,3.01783308,0.002545891
45022,Scaffold184,421789,423182,46.12133924,0.682608241,0.22658594,3.012579864,0.002590373
126240,Scaffold615,203300,208498,398.1520359,0.429283539,0.142595979,3.010488394,0.002608279
106283,Scaffold4453,18380,19488,29.07642464,0.724271272,0.240603098,3.010232536,0.002610477
150988,Scaffold903,134477,135046,15.80023407,0.725678142,0.241563511,3.004088404,0.002663779
90835,Scaffold343,228724,229847,25.12097889,0.723254018,0.241481607,2.995068757,0.00274383
84920,Scaffold314,397285,398126,28.95318359,0.726396379,0.242997701,2.989313791,0.002796048
127537,Scaffold627,390132,390903,30.92444656,0.714435046,0.240024398,2.976510106,0.002915495
50635,Scaffold198,251517,252282,31.93369668,0.704209991,0.237660471,2.963092635,0.003045649
97540,Scaffold382,357040,357581,25.1160384,0.719755571,0.243355402,2.957631373,0.003100126
147064,Scaffold857,456670,457604,23.26884557,0.720500217,0.243691179,2.956611806,0.003110394
109192,Scaffold469,116814,118987,92.77822085,0.614302115,0.208105885,2.951872864,0.003158529
58254,Scaffold219,128410,129081,21.77805855,0.71670736,0.243433645,2.94415902,0.003238336
11787,Scaffold118,81576,86467,450.6395426,0.390553045,0.132758089,2.941839907,0.003262686
153905,Scaffold95,331475,332394,33.47961069,0.697539135,0.237368318,2.938636211,0.003296598
90184,Scaffold34,797548,800873,463.9887705,0.399848583,0.136152256,2.9367753,0.003316443
31083,Scaffold153,1138013,1138631,23.81462027,0.712698493,0.24349608,2.926940318,0.003423146
