#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,1,Scaffold1,spur5_scaffold_16,13162,9577,5477,18638,+,5477,18638,22345203,22354779,-,0.72762,First Pass,Primary Assembly
Line:2,1,1,Scaffold1,spur5_scaffold_8,2611,1493,385902,388512,+,385903,388512,26092286,26093778,-,0.57181,First Pass,Primary Assembly
Line:3,1,1,Scaffold1,spur5_scaffold_8,2691,2677,401060,403750,+,401060,403750,26077642,26080318,-,0.9948,First Pass,Primary Assembly
Line:4,1,1,Scaffold1,spur5_scaffold_8,3515,2924,484852,488366,+,484852,488366,25994002,25996925,-,0.83186,First Pass,Primary Assembly
Line:5,1,NULL,Scaffold1,NULL,7908,NULL,504483,512390,+,NOMAP,LOWCOV,,,,,,
Line:6,1,1,Scaffold1,spur5_scaffold_7,5627,5291,524645,530271,+,525138,530271,6042842,6048132,+,0.94029,First Pass,Primary Assembly
Line:7,1,1,Scaffold1,spur5_scaffold_7,4286,2243,707522,711807,+,707522,709781,6221317,6223559,+,0.52333,Second Pass,Primary Assembly
Line:7,1,2,Scaffold1,spur5_contig_839,4286,3310,707522,711807,+,707522,710846,1537122,1540431,-,0.77228,First Pass,Primary Assembly
Line:8,1,1,Scaffold1,spur5_contig_839,13538,10302,713190,726727,+,713190,723133,1524674,1534975,-,0.76097,First Pass,Primary Assembly
Line:9,1,1,Scaffold1,spur5_scaffold_7,1563,1207,784982,786544,+,785359,786544,6288339,6289545,+,0.77223,Second Pass,Primary Assembly
Line:9,1,2,Scaffold1,spur5_contig_839,1563,1563,784982,786544,+,784982,786544,1470098,1471660,-,1,First Pass,Primary Assembly
Line:10,1,1,Scaffold1,spur5_scaffold_7,34745,49484,880046,914790,+,880046,914790,6390426,6439909,+,1.4242,First Pass,Primary Assembly
Line:10,1,2,Scaffold1,spur5_contig_839,34745,35633,880046,914790,+,880046,914790,1342856,1378488,-,1.02556,Second Pass,Primary Assembly
Line:11,1,1,Scaffold1,spur5_scaffold_7,30217,24608,958827,989043,+,958827,989043,6486720,6511327,+,0.81438,First Pass,Primary Assembly
Line:12,1,1,Scaffold1,spur5_scaffold_7,21475,23135,1154048,1175522,+,1154048,1175522,6675561,6698695,+,1.0773,First Pass,Primary Assembly
Line:12,1,2,Scaffold1,spur5_scaffold_7,21475,16189,1154048,1175522,+,1157554,1165477,6679066,6695254,+,0.75385,Second Pass,Primary Assembly
Line:13,1,1,Scaffold1,spur5_scaffold_7,16056,15121,1629020,1645075,+,1630535,1645061,6776266,6791386,-,0.94177,Second Pass,Primary Assembly
Line:13,1,2,Scaffold1,spur5_scaffold_7,16056,11136,1629020,1645075,+,1633980,1643914,6777092,6788227,-,0.69357,First Pass,Primary Assembly
Line:13,1,3,Scaffold1,spur5_scaffold_7,16056,14854,1629020,1645075,+,1643915,1645061,6775947,6790800,-,0.92514,Second Pass,Primary Assembly
Line:13,1,4,Scaffold1,spur5_contig_839,16056,12177,1629020,1645075,+,1629020,1645075,1013973,1026149,+,0.75841,First Pass,Primary Assembly
Line:14,1,1,Scaffold1,spur5_scaffold_7,2672,1354,1676179,1678850,+,1676179,1677532,6744806,6746159,-,0.50674,First Pass,Primary Assembly
Line:14,1,2,Scaffold1,spur5_contig_839,2672,1354,1676179,1678850,+,1676179,1677532,1056713,1058066,+,0.50674,Second Pass,Primary Assembly
Line:15,1,1,Scaffold1,spur5_scaffold_17,7657,7135,2129115,2136771,+,2129115,2136771,6112118,6119252,-,0.93183,First Pass,Primary Assembly
Line:16,1,1,Scaffold10,spur5_scaffold_17,6774,6770,30455,37228,+,30455,37228,15440809,15447578,+,0.99941,Second Pass,Primary Assembly
Line:16,1,2,Scaffold10,spur5_contig_850,6774,6774,30455,37228,+,30455,37228,756505,763278,+,1,First Pass,Primary Assembly
Line:17,1,1,Scaffold10,spur5_scaffold_3,9022,4728,271990,281011,+,272367,281011,15489250,15493977,+,0.52405,Second Pass,Primary Assembly
Line:18,1,1,Scaffold10,spur5_scaffold_3,5720,5720,388263,393982,+,388263,393982,15592432,15598151,+,1,First Pass,Primary Assembly
Line:19,1,1,Scaffold10,spur5_scaffold_5,15468,14820,1215703,1231170,+,1215703,1231170,16708072,16722891,-,0.95811,First Pass,Primary Assembly
Line:20,1,1,Scaffold10,spur5_scaffold_5,23774,14328,1580864,1604637,+,1580864,1604637,16363601,16377928,-,0.60268,First Pass,Primary Assembly
Line:21,1,1,Scaffold10,spur5_scaffold_5,8190,6890,1745838,1754027,+,1745838,1752725,16238025,16244914,-,0.84127,First Pass,Primary Assembly
Line:22,1,1,Scaffold10,spur5_scaffold_5,2421,2421,1787728,1790148,+,1787728,1790148,16197543,16199963,-,1,First Pass,Primary Assembly
Line:23,1,1,Scaffold10,spur5_scaffold_5,909,907,1791324,1792232,+,1791324,1792232,16195461,16196367,-,0.9978,First Pass,Primary Assembly
Line:24,1,1,Scaffold10,spur5_scaffold_5,2796,2851,1797034,1799829,+,1797034,1799829,16187775,16190625,-,1.01967,First Pass,Primary Assembly
Line:25,1,1,Scaffold10,spur5_scaffold_20,2648,1842,2078604,2081251,+,2079388,2081251,426473,428314,-,0.69562,First Pass,Primary Assembly
Line:26,1,1,Scaffold10,spur5_scaffold_20,2745,1843,2082276,2085020,+,2082276,2085020,423955,425797,-,0.6714,First Pass,Primary Assembly
Line:27,1,1,Scaffold10,spur5_scaffold_5,2134,2994,2136022,2138155,+,2136022,2138155,1926569,1929562,+,1.403,First Pass,Primary Assembly
Line:28,1,1,Scaffold10,spur5_scaffold_5,7817,8011,2177762,2185578,+,2177762,2185578,1973025,1981035,+,1.02482,First Pass,Primary Assembly
Line:29,1,1,Scaffold100,spur5_scaffold_6,24627,26456,432732,457358,+,432732,457358,59257399,59283854,-,1.07427,First Pass,Primary Assembly
Line:30,1,1,Scaffold100,spur5_scaffold_6,11432,11432,593302,604733,+,593302,604733,59101317,59112748,-,1,First Pass,Primary Assembly
Line:31,1,1,Scaffold100,spur5_scaffold_6,17816,14735,638775,656590,+,638775,656590,59047601,59062335,-,0.82707,First Pass,Primary Assembly
Line:32,1,1,Scaffold100,spur5_scaffold_6,79846,145779,725507,805352,+,742077,765374,58825563,58971341,-,1.82575,Second Pass,Primary Assembly
Line:33,1,1,Scaffold1001,spur5_scaffold_12,2359,2359,10377,12735,+,10377,12735,22900208,22902566,+,1,First Pass,Primary Assembly
Line:34,1,1,Scaffold10011,spur5_scaffold_12,4254,2843,7,4260,+,7,2839,26516726,26519568,+,0.66831,First Pass,Primary Assembly
Line:35,1,1,Scaffold1002,spur5_scaffold_5,8231,8204,157791,166021,+,157791,166021,38884532,38892735,+,0.99672,First Pass,Primary Assembly
Line:35,1,2,Scaffold1002,spur5_scaffold_5,8231,8872,157791,166021,+,157791,166021,41136919,41145790,+,1.07788,Second Pass,Primary Assembly
Line:36,1,1,Scaffold1003,spur5_scaffold_1,8963,9079,132513,141475,+,132513,141475,14710045,14719123,-,1.01294,First Pass,Primary Assembly
Line:37,1,1,Scaffold1004,spur5_scaffold_7,5266,6364,206155,211420,+,206155,211420,22219726,22226089,+,1.20851,Second Pass,Primary Assembly
Line:37,1,2,Scaffold1004,spur5_scaffold_7,5266,5257,206155,211420,+,206155,211420,22005281,22010537,-,0.99829,First Pass,Primary Assembly
Line:38,1,1,Scaffold1005,spur5_scaffold_6,4220,3522,140246,144465,+,140246,144465,41871898,41875419,-,0.8346,First Pass,Primary Assembly
Line:39,1,1,Scaffold1005,spur5_scaffold_6,5141,5807,145784,150924,+,145784,150920,41863998,41869804,-,1.12955,First Pass,Primary Assembly
Line:40,1,1,Scaffold1005,spur5_scaffold_6,4416,4411,159152,163567,+,159152,163567,41855078,41859488,-,0.99887,First Pass,Primary Assembly
Line:41,1,1,Scaffold1005,spur5_scaffold_6,46752,27380,165576,212327,+,165576,212327,41825690,41853069,-,0.58564,First Pass,Primary Assembly
