yourlist:M202202226320BA52A5CE8FCD097CB85A53697A3542D570B	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC100889665	A0A7M7NXC9	A0A7M7NXC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	416
LOC100889665	A0A7M7NY29	A0A7M7NY29_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	377
LOC100892446	A0A7M7PNE4	A0A7M7PNE4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	443
LOC105436766	A0A7M7N881	A0A7M7N881_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	516
LOC582578	A0A7M7GJV4	A0A7M7GJV4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	555
LOC575180	A0A7M7N5L5	A0A7M7N5L5_STRPU	unreviewed	Adenylate cyclase (EC 4.6.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1165
LOC575180	A0A7M7SU86	A0A7M7SU86_STRPU	unreviewed	Adenylate cyclase (EC 4.6.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1143
LOC763973	A0A7M7LL23	A0A7M7LL23_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	475
LOC576050	A0A7M7GFG1	A0A7M7GFG1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	448
LOC576050	A0A7M7LW56	A0A7M7LW56_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	481
LOC576050	A0A7M7RAE8	A0A7M7RAE8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	432
LOC105446704	A0A7M7SUK8	A0A7M7SUK8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	399
LOC115924536	A0A7M7SZH0	A0A7M7SZH0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	141
LOC582465	A0A7M7LWJ7	A0A7M7LWJ7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC577006	A0A7M7HKA3	A0A7M7HKA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	909
LOC577006	A0A7M7N8D1	A0A7M7N8D1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	885
LOC577006	A0A7M7N8T3	A0A7M7N8T3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	892
LOC577006	A0A7M7NA86	A0A7M7NA86_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	883
LOC577006	A0A7M7SUS3	A0A7M7SUS3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	907
LOC763684	A0A7M7G4B1	A0A7M7G4B1_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	380
LOC763631	A0A7M7G1C9	A0A7M7G1C9_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	439
LOC593663	A0A7M7HPG8	A0A7M7HPG8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	297
LOC593663	A0A7M7RFF3	A0A7M7RFF3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	542
LOC105441116	A0A7M7PLK8	A0A7M7PLK8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	489
LOC100889252	A0A7M7PMW7	A0A7M7PMW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	830
LOC592853	A0A7M7RH51	A0A7M7RH51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2514
LOC580187	A0A7M7MYV1	A0A7M7MYV1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1279
LOC763114	A0A7M7NQZ5	A0A7M7NQZ5_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC582509	A0A7M7RFF0	A0A7M7RFF0_STRPU	unreviewed	Homeobox protein		Strongylocentrotus purpuratus (Purple sea urchin)	303
LOC578392	A0A7M7HPP8	A0A7M7HPP8_STRPU	unreviewed	Inosine phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase)		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC578392	A0A7M7LPB2	A0A7M7LPB2_STRPU	unreviewed	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)		Strongylocentrotus purpuratus (Purple sea urchin)	311
LOC578392	A0A7M7RE57	A0A7M7RE57_STRPU	unreviewed	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)		Strongylocentrotus purpuratus (Purple sea urchin)	290
LOC100892701	A0A7M7NBQ0	A0A7M7NBQ0_STRPU	unreviewed	Uromodulin (Uromodulin, secreted form)		Strongylocentrotus purpuratus (Purple sea urchin)	460
LOC584475	A0A7M7HH62	A0A7M7HH62_STRPU	unreviewed	F420_oxidored domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	380
LOC105446843	A0A7M7P1I5	A0A7M7P1I5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	485
LOC105446843	A0A7M7P1V8	A0A7M7P1V8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	508
LOC105446843	A0A7M7P2N9	A0A7M7P2N9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	446
LOC105446843	A0A7M7P3M4	A0A7M7P3M4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	525
LOC105446843	A0A7M7P485	A0A7M7P485_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	485
LOC105446843	A0A7M7T0J8	A0A7M7T0J8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	545
LOC579946	A0A7M7GI71	A0A7M7GI71_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2124
LOC579946	A0A7M7RB10	A0A7M7RB10_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2121
LOC590510	A0A7M7P5G2	A0A7M7P5G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	586
LOC100892257	A0A7M7NQF8	A0A7M7NQF8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	310
LOC100892257	A0A7M7NRB4	A0A7M7NRB4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	308
LOC100892257	A0A7M7SY57	A0A7M7SY57_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	311
