,chr,start,stop
0,Scaffold1,5477.0,18638.0
1,Scaffold1,385902.0,388512.0
2,Scaffold1,401060.0,403750.0
3,Scaffold1,484852.0,488366.0
4,Scaffold1,504483.0,512390.0
5,Scaffold1,524645.0,530271.0
6,Scaffold1,707522.0,711807.0
7,Scaffold1,713190.0,726727.0
8,Scaffold1,784982.0,786544.0
9,Scaffold1,880046.0,914790.0
10,Scaffold1,958827.0,989043.0
11,Scaffold1,1154048.0,1175522.0
12,Scaffold1,1629020.0,1645075.0
13,Scaffold1,1676179.0,1678850.0
14,Scaffold1,2129115.0,2136771.0
15,Scaffold10,30455.0,37228.0
16,Scaffold10,271990.0,281011.0
17,Scaffold10,388263.0,393982.0
18,Scaffold10,1215703.0,1231170.0
19,Scaffold10,1580864.0,1604637.0
20,Scaffold10,1745838.0,1754027.0
21,Scaffold10,1787728.0,1790148.0
22,Scaffold10,1791324.0,1792232.0
23,Scaffold10,1797034.0,1799829.0
24,Scaffold10,2078604.0,2081251.0
25,Scaffold10,2082276.0,2085020.0
26,Scaffold10,2136022.0,2138155.0
27,Scaffold10,2177762.0,2185578.0
28,Scaffold100,432732.0,457358.0
29,Scaffold100,593302.0,604733.0
30,Scaffold100,638775.0,656590.0
31,Scaffold100,725507.0,805352.0
32,Scaffold1001,10377.0,12735.0
33,Scaffold10011,7.0,4260.0
34,Scaffold1002,157791.0,166021.0
35,Scaffold1003,132513.0,141475.0
36,Scaffold1004,206155.0,211420.0
37,Scaffold1005,140246.0,144465.0
38,Scaffold1005,145784.0,150924.0
39,Scaffold1005,159152.0,163567.0
40,Scaffold1005,165576.0,212327.0
41,Scaffold1006,104330.0,108932.0
42,Scaffold1007,3387.0,7462.0
43,Scaffold1007,52069.0,54059.0
44,Scaffold1007,76619.0,80351.0
45,Scaffold1007,118641.0,122165.0
46,Scaffold1008,46188.0,47093.0
47,Scaffold1008,314412.0,315494.0
48,Scaffold101,688579.0,713132.0
49,Scaffold1010,49205.0,51067.0
50,Scaffold10104,97.0,935.0
51,Scaffold1011,1362.0,11531.0
52,Scaffold1012,0.0,2732.0
53,Scaffold1012,135297.0,136640.0
54,Scaffold1013,251484.0,274063.0
55,Scaffold1014,59076.0,59795.0
56,Scaffold1014,112893.0,114865.0
57,Scaffold1014,115723.0,118818.0
58,Scaffold1015,16355.0,17769.0
59,Scaffold1015,110586.0,115401.0
60,Scaffold1015,213091.0,253966.0
61,Scaffold1016,3277.0,52436.0
62,Scaffold1016,53878.0,103581.0
63,Scaffold102,23730.0,25881.0
64,Scaffold102,107247.0,111617.0
65,Scaffold102,147514.0,167939.0
66,Scaffold102,208234.0,217282.0
67,Scaffold102,256443.0,261473.0
68,Scaffold102,641130.0,644622.0
69,Scaffold102,652336.0,680901.0
70,Scaffold1020,86178.0,89050.0
71,Scaffold1020,142610.0,144708.0
72,Scaffold1022,25746.0,29525.0
73,Scaffold1022,45843.0,49808.0
74,Scaffold1023,70203.0,74688.0
75,Scaffold1024,2004.0,3748.0
76,Scaffold1024,106873.0,108834.0
77,Scaffold1024,191835.0,215712.0
78,Scaffold1025,188939.0,194511.0
79,Scaffold1026,36855.0,41039.0
80,Scaffold1026,48647.0,50340.0
81,Scaffold1027,69403.0,72350.0
82,Scaffold1027,280429.0,281458.0
83,Scaffold1028,28217.0,31091.0
84,Scaffold1028,200133.0,214661.0
85,Scaffold1029,85289.0,140958.0
86,Scaffold1029,155181.0,169676.0
87,Scaffold1029,213325.0,215402.0
88,Scaffold1029,215767.0,220824.0
89,Scaffold1029,374221.0,384599.0
90,Scaffold103,509187.0,542015.0
91,Scaffold103,547518.0,559021.0
92,Scaffold103,785068.0,792146.0
93,Scaffold103,793295.0,797448.0
94,Scaffold103,887072.0,903102.0
95,Scaffold1030,13367.0,23031.0
96,Scaffold1030,130713.0,140685.0
97,Scaffold1031,162539.0,168030.0
98,Scaffold10326,0.0,863.0
99,Scaffold1033,136300.0,143999.0
100,Scaffold1034,25624.0,28591.0
101,Scaffold1035,63783.0,64680.0
102,Scaffold1035,155058.0,156590.0
103,Scaffold1035,161495.0,164226.0
104,Scaffold1035,166370.0,168222.0
105,Scaffold1035,224272.0,230721.0
106,Scaffold1036,141838.0,150066.0
107,Scaffold1037,169459.0,176178.0
108,Scaffold1037,200600.0,201990.0
109,Scaffold1038,131084.0,137089.0
110,Scaffold1038,214124.0,216344.0
111,Scaffold1038,247818.0,251017.0
112,Scaffold1039,184926.0,188006.0
113,Scaffold104,326219.0,327001.0
114,Scaffold104,619818.0,626390.0
115,Scaffold104,876136.0,880321.0
116,Scaffold104,890102.0,933780.0
117,Scaffold1040,40986.0,41784.0
118,Scaffold1040,44732.0,47797.0
119,Scaffold1040,85316.0,88194.0
120,Scaffold1040,212845.0,218060.0
121,Scaffold1040,256433.0,260518.0
122,Scaffold1041,5287.0,12384.0
123,Scaffold1043,165088.0,178872.0
124,Scaffold1044,43413.0,45268.0
125,Scaffold1044,169387.0,194941.0
126,Scaffold1045,53777.0,65477.0
127,Scaffold1045,80491.0,81756.0
128,Scaffold1045,122954.0,125673.0
129,Scaffold1045,143427.0,146739.0
130,Scaffold1046,19876.0,31206.0
131,Scaffold1046,327385.0,334194.0
132,Scaffold1047,73215.0,74776.0
133,Scaffold1047,391043.0,397896.0
134,Scaffold1048,5423.0,7501.0
135,Scaffold1049,1000.0,17085.0
136,Scaffold105,309230.0,313787.0
