chr,start,stop
###,,
##sequence-region NC_001453.1 1 15650,,
##sequence-region NW_022144749.1 1 56950,,
##sequence-region NW_022144750.1 1 47351,,
##sequence-region NW_022144751.1 1 44134,,
##sequence-region NW_022144752.1 1 38760,,
##sequence-region NW_022144753.1 1 32290,,
##sequence-region NW_022144754.1 1 30490,,
##sequence-region NW_022144755.1 1 29101,,
##sequence-region NW_022144756.1 1 26146,,
##sequence-region NW_022144757.1 1 25658,,
##sequence-region NW_022144758.1 1 25340,,
##sequence-region NW_022144759.1 1 25179,,
##sequence-region NW_022144760.1 1 24030,,
##sequence-region NW_022144761.1 1 23711,,
##sequence-region NW_022144762.1 1 23070,,
##sequence-region NW_022144763.1 1 22953,,
##sequence-region NW_022144764.1 1 22620,,
##sequence-region NW_022144765.1 1 22433,,
##sequence-region NW_022144766.1 1 21973,,
##sequence-region NW_022144767.1 1 21667,,
##sequence-region NW_022144768.1 1 21625,,
##sequence-region NW_022144769.1 1 21387,,
##sequence-region NW_022144770.1 1 21139,,
##sequence-region NW_022144771.1 1 21068,,
##sequence-region NW_022144772.1 1 21005,,
##sequence-region NW_022144773.1 1 20784,,
##sequence-region NW_022144774.1 1 20670,,
##sequence-region NW_022144775.1 1 20129,,
##sequence-region NW_022144776.1 1 19833,,
##sequence-region NW_022144777.1 1 19372,,
##sequence-region NW_022144778.1 1 19224,,
##sequence-region NW_022144779.1 1 18924,,
##sequence-region NW_022144780.1 1 18903,,
##sequence-region NW_022144781.1 1 18719,,
##sequence-region NW_022144782.1 1 18716,,
##sequence-region NW_022144783.1 1 18557,,
##sequence-region NW_022144784.1 1 18439,,
##sequence-region NW_022144785.1 1 18330,,
##sequence-region NW_022144786.1 1 18214,,
##sequence-region NW_022144787.1 1 18153,,
##sequence-region NW_022144788.1 1 17951,,
##sequence-region NW_022144789.1 1 17798,,
##sequence-region NW_022144790.1 1 17754,,
##sequence-region NW_022144791.1 1 17648,,
##sequence-region NW_022144792.1 1 17542,,
##sequence-region NW_022144793.1 1 17493,,
##sequence-region NW_022144794.1 1 17213,,
##sequence-region NW_022144795.1 1 17172,,
##sequence-region NW_022144796.1 1 17039,,
##sequence-region NW_022144797.1 1 17012,,
##sequence-region NW_022144798.1 1 16271,,
##sequence-region NW_022144799.1 1 16212,,
##sequence-region NW_022144800.1 1 16196,,
##sequence-region NW_022144801.1 1 16082,,
##sequence-region NW_022144802.1 1 16073,,
##sequence-region NW_022144803.1 1 15882,,
##sequence-region NW_022144804.1 1 15872,,
##sequence-region NW_022144805.1 1 15755,,
##sequence-region NW_022144806.1 1 15729,,
##sequence-region NW_022144807.1 1 15717,,
##sequence-region NW_022144808.1 1 15697,,
##sequence-region NW_022144809.1 1 15254,,
##sequence-region NW_022144810.1 1 15245,,
##sequence-region NW_022144811.1 1 15184,,
##sequence-region NW_022144812.1 1 15180,,
##sequence-region NW_022144813.1 1 64470,,
##sequence-region NW_022144814.1 1 20273,,
##sequence-region NW_022144815.1 1 19793,,
##sequence-region NW_022144816.1 1 18134,,
##sequence-region NW_022144817.1 1 17838,,
##sequence-region NW_022144818.1 1 15663,,
##sequence-region NW_022144819.1 1 25897,,
##sequence-region NW_022144820.1 1 14953,,
##sequence-region NW_022144821.1 1 14859,,
##sequence-region NW_022144822.1 1 14838,,
##sequence-region NW_022144823.1 1 14815,,
##sequence-region NW_022144824.1 1 14806,,
##sequence-region NW_022144825.1 1 14766,,
##sequence-region NW_022144826.1 1 14747,,
##sequence-region NW_022144827.1 1 14741,,
##sequence-region NW_022144828.1 1 14710,,
##sequence-region NW_022144829.1 1 14707,,
##sequence-region NW_022144830.1 1 14679,,
##sequence-region NW_022144831.1 1 14604,,
##sequence-region NW_022144832.1 1 14536,,
##sequence-region NW_022144833.1 1 14472,,
##sequence-region NW_022144834.1 1 14424,,
##sequence-region NW_022144835.1 1 14392,,
##sequence-region NW_022144836.1 1 14366,,
##sequence-region NW_022144837.1 1 14316,,
##sequence-region NW_022144838.1 1 14178,,
##sequence-region NW_022144839.1 1 14036,,
##sequence-region NW_022144840.1 1 13984,,
##sequence-region NW_022144841.1 1 13922,,
##sequence-region NW_022144842.1 1 13691,,
##sequence-region NW_022144843.1 1 13690,,
##sequence-region NW_022144844.1 1 13628,,
##sequence-region NW_022144845.1 1 13496,,
##sequence-region NW_022144846.1 1 13451,,
##sequence-region NW_022144847.1 1 13443,,
##sequence-region NW_022144848.1 1 13325,,
##sequence-region NW_022144849.1 1 13232,,
##sequence-region NW_022144850.1 1 13217,,
##sequence-region NW_022144851.1 1 13037,,
