,chr,start,stop
0,Scaffold1,7356.0,7749.0
1,Scaffold1,16645.0,16784.0
2,Scaffold1,65949.0,66366.0
3,Scaffold1,97960.0,98217.0
4,Scaffold1,101849.0,102131.0
5,Scaffold1,424105.0,424252.0
6,Scaffold1,439363.0,439741.0
7,Scaffold1,468060.0,468282.0
8,Scaffold1,485253.0,485636.0
9,Scaffold1,578279.0,578489.0
10,Scaffold1,626388.0,626744.0
11,Scaffold1,641270.0,641596.0
12,Scaffold1,650947.0,651312.0
13,Scaffold1,679658.0,679675.0
14,Scaffold1,741118.0,741302.0
15,Scaffold1,749041.0,749362.0
16,Scaffold1,752870.0,753156.0
17,Scaffold1,753629.0,753935.0
18,Scaffold1,756570.0,756821.0
19,Scaffold1,778785.0,779147.0
20,Scaffold1,786549.0,786924.0
21,Scaffold1,842206.0,842504.0
22,Scaffold1,872558.0,872846.0
23,Scaffold1,875761.0,876014.0
24,Scaffold1,887504.0,887897.0
25,Scaffold1,894468.0,894621.0
26,Scaffold1,915947.0,916367.0
27,Scaffold1,1027596.0,1027957.0
28,Scaffold1,1029417.0,1029697.0
29,Scaffold1,1031528.0,1031559.0
30,Scaffold1,1042826.0,1043113.0
31,Scaffold1,1051912.0,1052077.0
32,Scaffold1,1056543.0,1056881.0
33,Scaffold1,1060751.0,1061279.0
34,Scaffold1,1064274.0,1064490.0
35,Scaffold1,1065607.0,1066149.0
36,Scaffold1,1066216.0,1066390.0
37,Scaffold1,1066625.0,1066805.0
38,Scaffold1,1071134.0,1071456.0
39,Scaffold1,1093281.0,1093384.0
40,Scaffold1,1192388.0,1192734.0
41,Scaffold1,1441192.0,1441414.0
42,Scaffold1,1502230.0,1502680.0
43,Scaffold1,1579738.0,1579963.0
44,Scaffold1,1581453.0,1581791.0
45,Scaffold1,1586934.0,1587325.0
46,Scaffold1,1589896.0,1590164.0
47,Scaffold1,1596169.0,1596363.0
48,Scaffold1,1628333.0,1628483.0
49,Scaffold1,1662452.0,1662817.0
50,Scaffold1,1740006.0,1740191.0
51,Scaffold1,1874728.0,1874764.0
52,Scaffold1,1878649.0,1878999.0
53,Scaffold1,2078595.0,2078771.0
54,Scaffold1,2090215.0,2090254.0
55,Scaffold10,56721.0,57039.0
56,Scaffold10,64234.0,64624.0
57,Scaffold10,336336.0,336713.0
58,Scaffold10,346786.0,347040.0
59,Scaffold10,380057.0,380236.0
60,Scaffold10,466338.0,466781.0
61,Scaffold10,550855.0,551002.0
62,Scaffold10,587054.0,587444.0
63,Scaffold10,588713.0,588971.0
64,Scaffold10,620234.0,620433.0
65,Scaffold10,678871.0,679406.0
66,Scaffold10,726481.0,726713.0
67,Scaffold10,751761.0,752092.0
68,Scaffold10,752130.0,752517.0
69,Scaffold10,754685.0,755025.0
70,Scaffold10,758189.0,758557.0
71,Scaffold10,762577.0,762932.0
72,Scaffold10,763365.0,763625.0
73,Scaffold10,839376.0,840133.0
74,Scaffold10,893828.0,894194.0
75,Scaffold10,898442.0,898807.0
76,Scaffold10,928855.0,929113.0
77,Scaffold10,1120530.0,1120774.0
78,Scaffold10,1141956.0,1142165.0
79,Scaffold10,1188241.0,1188329.0
80,Scaffold10,1212472.0,1212715.0
81,Scaffold10,1246915.0,1247254.0
82,Scaffold10,1270917.0,1271254.0
83,Scaffold10,1278095.0,1278195.0
84,Scaffold10,1300863.0,1300879.0
85,Scaffold10,1328884.0,1329217.0
86,Scaffold10,1386322.0,1386671.0
87,Scaffold10,1420538.0,1420834.0
88,Scaffold10,1432675.0,1432771.0
89,Scaffold10,1451007.0,1451288.0
90,Scaffold10,1509086.0,1509342.0
91,Scaffold10,1522907.0,1523084.0
92,Scaffold10,1525569.0,1526092.0
93,Scaffold10,1613098.0,1613286.0
94,Scaffold10,1646027.0,1646541.0
95,Scaffold10,1686550.0,1686662.0
96,Scaffold10,1699330.0,1699707.0
97,Scaffold10,1705274.0,1705295.0
98,Scaffold10,1727874.0,1728171.0
99,Scaffold10,1732694.0,1733136.0
100,Scaffold10,1739781.0,1740078.0
101,Scaffold10,1767047.0,1767432.0
102,Scaffold10,1782760.0,1783397.0
103,Scaffold10,1874045.0,1874204.0
104,Scaffold10,1889437.0,1889774.0
105,Scaffold10,1959526.0,1959676.0
106,Scaffold10,1973164.0,1973462.0
107,Scaffold10,2004813.0,2005188.0
108,Scaffold10,2034960.0,2035229.0
109,Scaffold10,2052750.0,2052935.0
110,Scaffold10,2103431.0,2103607.0
111,Scaffold100,164533.0,164922.0
112,Scaffold100,188592.0,188928.0
113,Scaffold100,227914.0,228203.0
114,Scaffold100,305940.0,306181.0
115,Scaffold100,317606.0,317931.0
116,Scaffold100,436403.0,436775.0
117,Scaffold100,452390.0,452757.0
118,Scaffold100,561347.0,561454.0
119,Scaffold100,563771.0,564255.0
120,Scaffold100,567409.0,568205.0
121,Scaffold100,569629.0,570160.0
122,Scaffold100,598906.0,599238.0
123,Scaffold100,623426.0,623620.0
124,Scaffold100,663933.0,664083.0
125,Scaffold100,674088.0,674355.0
126,Scaffold100,684996.0,685402.0
127,Scaffold100,688233.0,688613.0
128,Scaffold100,688934.0,689097.0
129,Scaffold100,891381.0,891621.0
130,Scaffold100,970693.0,970852.0
131,Scaffold1001,39076.0,39463.0
132,Scaffold1001,75821.0,76048.0
133,Scaffold1001,143685.0,144112.0
134,Scaffold1002,19848.0,20406.0
135,Scaffold1002,46471.0,46654.0
136,Scaffold1002,62193.0,62303.0
137,Scaffold1002,63885.0,64104.0
138,Scaffold1002,71464.0,71863.0
139,Scaffold1002,79844.0,80347.0
