#feat_name	source_int	mapped_int	source_id	mapped_id	source_length	mapped_length	source_start	source_stop	source_strand	source_sub_start	source_sub_stop	mapped_start	mapped_stop	mapped_strand	coverage	recip	asm_unit
Line:1	1	1	NW_022145459	NW_003578334.1	1	1	2561	2561	+	2561	2561	309028	309028	+	1	First Pass	Primary Assembly
Line:2	1	1	NW_022145461	NW_003577677.1	1	1	8430	8430	+	8430	8430	59379	59379	-	1	First Pass	Primary Assembly
Line:3	1	NULL	NW_022145464	NULL	1	NULL	32906	32906	+	NOMAP	ALIGNGAP						
Line:4	1	1	NW_022145465	NW_003577462.1	1	1	5133	5133	+	5133	5133	624674	624674	+	1	First Pass	Primary Assembly
Line:5	1	1	NW_022145509	NW_003577420.1	1	1	25410	25410	+	25410	25410	20646	20646	-	1	First Pass	Primary Assembly
Line:6	1	1	NW_022145519	NW_003577346.1	1	1	466296	466296	+	466296	466296	14609	14609	-	1	First Pass	Primary Assembly
Line:7	1	1	NW_022145530	NW_003580624.1	1	1	614214	614214	+	614214	614214	33596	33596	+	1	First Pass	Primary Assembly
Line:8	1	1	NW_022145534	NW_003577138.1	1	1	1090097	1090097	+	1090097	1090097	196180	196180	-	1	Second Pass	Primary Assembly
Line:9	1	1	NW_022145537	NW_003577118.1	1	1	58910	58910	+	58910	58910	694513	694513	-	1	First Pass	Primary Assembly
Line:10	1	1	NW_022145549	NW_003576965.1	1	1	939265	939265	+	939265	939265	484389	484389	+	1	First Pass	Primary Assembly
Line:11	1	1	NW_022145552	NW_003577174.1	1	1	2272490	2272490	+	2272490	2272490	250547	250547	-	1	First Pass	Primary Assembly
Line:12	1	1	NW_022145553	NW_003577642.1	1	1	833490	833490	+	833490	833490	286258	286258	+	1	First Pass	Primary Assembly
Line:13	1	NULL	NW_022145570	NULL	1	NULL	466300	466300	+	NOMAP	ALIGNGAP						
Line:14	1	1	NW_022145594	NW_003577651.1	1	1	1703611	1703611	+	1703611	1703611	118794	118794	+	1	First Pass	Primary Assembly
