first.seqnames	first.start	first.end	first.width	first.strand	second.seqnames	second.start	second.end	second.width	second.strand
Scaffold0	127697	127766	70	*	Scaffold407	309218	309287	70	*
Scaffold1	5699	5750	52	*	Scaffold823	286979	287030	52	*
Scaffold1	4558	4610	53	*	Scaffold823	285819	285871	53	*
Scaffold1	29226	29276	51	*	Scaffold823	308242	308293	52	*
Scaffold10	8733	8808	76	*	Scaffold1224	412338	412413	76	*
Scaffold10	9621	9676	56	*	Scaffold1224	412677	412732	56	*
Scaffold10	2775	2885	111	*	Scaffold1224	406291	406401	111	*
Scaffold10	10803	10906	104	*	Scaffold1224	413882	413986	105	*
Scaffold10	3686	3736	51	*	Scaffold1224	407235	407285	51	*
Scaffold10	6429	6488	60	*	Scaffold1224	409844	409903	60	*
Scaffold10	3314	3364	51	*	Scaffold1224	406854	406904	51	*
Scaffold10	3631	3680	50	*	Scaffold1224	407181	407230	50	*
Scaffold10	4624	4696	73	*	Scaffold1224	408203	408275	73	*
Scaffold10	9935	10051	117	*	Scaffold1224	412987	413103	117	*
Scaffold10	3574	3624	51	*	Scaffold1224	407124	407174	51	*
Scaffold10	29835	29887	53	*	Scaffold26	216821	216873	53	*
Scaffold10	20975	21032	58	*	Scaffold26	207329	207386	58	*
Scaffold10	31086	31135	50	*	Scaffold26	218040	218089	50	*
Scaffold10	10947	10996	50	*	Scaffold26	197990	198040	51	*
Scaffold10	26425	26475	51	*	Scaffold26	213019	213069	51	*
Scaffold10	38387	38440	54	*	Scaffold26	225134	225187	54	*
Scaffold10	41521	41585	65	*	Scaffold26	227371	227435	65	*
Scaffold10	32025	32095	71	*	Scaffold26	219003	219073	71	*
Scaffold10	44774	44866	93	*	Scaffold26	230355	230447	93	*
Scaffold10	16824	16889	66	*	Scaffold26	203291	203356	66	*
Scaffold10	21098	21159	62	*	Scaffold26	207454	207515	62	*
Scaffold10	32391	32494	104	*	Scaffold26	219379	219482	104	*
Scaffold10	17069	17186	118	*	Scaffold26	203525	203642	118	*
Scaffold10	37050	37103	54	*	Scaffold26	225134	225187	54	*
Scaffold10	19743	19875	133	*	Scaffold26	205931	206063	133	*
Scaffold10	16374	16626	253	*	Scaffold26	202826	203078	253	*
Scaffold10	32274	32367	94	*	Scaffold26	219262	219355	94	*
Scaffold10	32534	32610	77	*	Scaffold26	219523	219599	77	*
Scaffold10	34722	34915	194	*	Scaffold26	222661	222852	192	*
Scaffold10	39650	39752	103	*	Scaffold26	226027	226130	104	*
Scaffold10	10803	10906	104	*	Scaffold26	197842	197946	105	*
Scaffold10	26083	26139	57	*	Scaffold26	212701	212757	57	*
Scaffold10	15631	15724	94	*	Scaffold26	202045	202138	94	*
Scaffold10	9621	9676	56	*	Scaffold26	196682	196737	56	*
Scaffold10	30146	30210	65	*	Scaffold26	217141	217205	65	*
Scaffold10	18989	19039	51	*	Scaffold26	205634	205684	51	*
Scaffold10	41417	41517	101	*	Scaffold26	227268	227368	101	*
Scaffold10	44456	44582	127	*	Scaffold26	230032	230158	127	*
Scaffold10	27289	27358	70	*	Scaffold26	213926	213995	70	*
Scaffold10	9935	10051	117	*	Scaffold26	196993	197109	117	*
Scaffold10	13882	13989	108	*	Scaffold26	200682	200789	108	*
Scaffold10	31841	31892	52	*	Scaffold26	218818	218869	52	*
Scaffold10	33769	33851	83	*	Scaffold26	221440	221522	83	*
Scaffold10	8733	8808	76	*	Scaffold26	195715	195790	76	*
Scaffold10	31950	32023	74	*	Scaffold26	218928	219001	74	*
Scaffold10	16672	16752	81	*	Scaffold26	203123	203203	81	*
Scaffold10	55046	55114	69	*	Scaffold29	7542	7610	69	*
Scaffold10	53840	53928	89	*	Scaffold29	6368	6457	90	*
Scaffold10	63521	63574	54	*	Scaffold29	3970	4023	54	*
Scaffold10	63599	63685	87	*	Scaffold29	4051	4138	88	*
Scaffold10	63294	63373	80	*	Scaffold29	3737	3816	80	*
Scaffold10	51898	51946	49	*	Scaffold29	783	832	50	*
Scaffold100	256267	256325	59	*	Scaffold5	88697	88755	59	*
Scaffold1000	49439	49497	59	*	Scaffold1702	68803	68861	59	*
Scaffold1000	49382	49434	53	*	Scaffold1702	68866	68918	53	*
Scaffold10000	25285	25352	68	*	Scaffold3112	32392	32459	68	*
Scaffold10002	7237	7286	50	*	Scaffold218	513607	513656	50	*
Scaffold10006	8532	8581	50	*	Scaffold170	603146	603195	50	*
Scaffold10006	31275	31326	52	*	Scaffold170	620450	620501	52	*
Scaffold10006	14060	14117	58	*	Scaffold170	609299	609357	59	*
Scaffold10006	29337	29408	72	*	Scaffold170	618686	618757	72	*
Scaffold10006	26205	26260	56	*	Scaffold8514	5685	5740	56	*
Scaffold10007	10382	10451	70	*	Scaffold114	437851	437920	70	*
Scaffold10007	10380	10448	69	*	Scaffold1212	44683	44751	69	*
Scaffold10007	10374	10434	61	*	Scaffold1268	118811	118871	61	*
Scaffold10007	10385	10448	64	*	Scaffold127	1166229	1166292	64	*
Scaffold10007	10374	10441	68	*	Scaffold184	636839	636906	68	*
Scaffold10007	10380	10453	74	*	Scaffold20121	421	494	74	*
Scaffold10007	10380	10451	72	*	Scaffold3474	5463	5534	72	*
Scaffold10007	10378	10445	68	*	Scaffold438	175967	176034	68	*
Scaffold10007	10385	10446	62	*	Scaffold47	735497	735558	62	*
Scaffold10007	10376	10436	61	*	Scaffold544	597613	597673	61	*
Scaffold10007	10369	10443	75	*	Scaffold623	337181	337255	75	*
Scaffold10007	10389	10449	61	*	Scaffold756	57652	57712	61	*
Scaffold10007	10382	10450	69	*	Scaffold856	175926	175994	69	*
Scaffold10007	10380	10452	73	*	Scaffold96	429627	429699	73	*
Scaffold10007	10377	10442	66	*	Scaffold996	15563	15628	66	*
Scaffold100072	9140	9205	66	*	Scaffold1396	332916	332981	66	*
Scaffold1001	39857	39930	74	*	Scaffold1079	174991	175066	76	*
Scaffold1001	78513	78566	54	*	Scaffold1079	136351	136404	54	*
Scaffold1001	68466	68531	66	*	Scaffold1079	147114	147179	66	*
Scaffold1001	83682	83789	108	*	Scaffold1079	133181	133288	108	*
Scaffold1001	36789	36873	85	*	Scaffold1079	178064	178148	85	*
Scaffold1001	38540	38596	57	*	Scaffold1079	176325	176381	57	*
Scaffold1001	19381	19433	53	*	Scaffold1079	191561	191612	52	*
Scaffold1001	117450	117500	51	*	Scaffold1079	110030	110080	51	*
Scaffold1001	39863	39940	78	*	Scaffold2447	101792	101869	78	*
Scaffold1002	61502	61558	57	*	Scaffold13	875025	875081	57	*
Scaffold1002	39347	39399	53	*	Scaffold13	855667	855719	53	*
Scaffold1002	103698	103803	106	*	Scaffold13	905190	905295	106	*
Scaffold1002	80927	81020	94	*	Scaffold13	884112	884205	94	*
Scaffold1002	8010	8060	51	*	Scaffold13	827851	827901	51	*
Scaffold1002	100601	100674	74	*	Scaffold13	901877	901950	74	*
Scaffold1002	69117	69303	187	*	Scaffold13	878847	879034	188	*
Scaffold1002	68034	68086	53	*	Scaffold13	877813	877865	53	*
Scaffold1002	82988	83079	92	*	Scaffold13	884113	884204	92	*
Scaffold1002	115561	115612	52	*	Scaffold13	909448	909499	52	*
Scaffold1002	40067	40119	53	*	Scaffold13	855667	855719	53	*
Scaffold1002	9644	9717	74	*	Scaffold13	829461	829534	74	*
Scaffold1002	62130	62206	77	*	Scaffold13	875726	875802	77	*
Scaffold1002	117347	117449	103	*	Scaffold13	911413	911515	103	*
Scaffold1002	44333	44383	51	*	Scaffold13	863437	863487	51	*
Scaffold1002	124159	124209	51	*	Scaffold13	917643	917693	51	*
Scaffold1002	103453	103535	83	*	Scaffold13	904952	905034	83	*
Scaffold1002	118455	118509	55	*	Scaffold13	912659	912712	54	*
Scaffold1002	88344	88418	75	*	Scaffold13	890596	890670	75	*
Scaffold1002	130756	130808	53	*	Scaffold13	921255	921307	53	*
Scaffold10026	980	1069	90	*	Scaffold10	1374598	1374686	89	*
Scaffold10026	1074	1176	103	*	Scaffold10	1374495	1374597	103	*
Scaffold10026	1003	1069	67	*	Scaffold1163	167927	167993	67	*
Scaffold10026	986	1069	84	*	Scaffold1198	181009	181091	83	*
Scaffold10026	1074	1177	104	*	Scaffold1198	180905	181008	104	*
Scaffold10026	1074	1177	104	*	Scaffold11987	344	447	104	*
Scaffold10026	1086	1177	92	*	Scaffold12	934534	934625	92	*
Scaffold10026	1107	1174	68	*	Scaffold1494	23648	23715	68	*
Scaffold10026	1110	1180	71	*	Scaffold1580	112778	112848	71	*
Scaffold10026	1115	1178	64	*	Scaffold161	811071	811134	64	*
Scaffold10026	999	1059	61	*	Scaffold161	289291	289351	61	*
Scaffold10026	1098	1175	78	*	Scaffold168	494811	494888	78	*
Scaffold10026	983	1048	66	*	Scaffold1691	323477	323542	66	*
Scaffold10026	1103	1182	80	*	Scaffold17	146898	146977	80	*
Scaffold10026	1109	1179	71	*	Scaffold184	437123	437193	71	*
Scaffold10026	988	1050	63	*	Scaffold1896	215223	215285	63	*
Scaffold10026	1118	1179	62	*	Scaffold1910	114819	114880	62	*
Scaffold10026	1120	1177	58	*	Scaffold1986	95920	95977	58	*
Scaffold10026	984	1061	78	*	Scaffold1997	67593	67670	78	*
Scaffold10026	986	1062	77	*	Scaffold2009	90083	90159	77	*
Scaffold10026	1074	1177	104	*	Scaffold248	63726	63829	104	*
Scaffold10026	1000	1061	62	*	Scaffold249	89554	89615	62	*
Scaffold10026	1007	1063	57	*	Scaffold2533	39923	39979	57	*
Scaffold10026	989	1052	64	*	Scaffold267	505225	505288	64	*
Scaffold10026	1077	1170	94	*	Scaffold2767	8890	8983	94	*
Scaffold10026	1095	1182	88	*	Scaffold2883	4777	4864	88	*
Scaffold10026	1113	1180	68	*	Scaffold29789	1	68	68	*
Scaffold10026	984	1057	74	*	Scaffold3	638096	638169	74	*
Scaffold10026	986	1069	84	*	Scaffold31122	615	697	83	*
Scaffold10026	1074	1177	104	*	Scaffold31122	511	614	104	*
Scaffold10026	1075	1178	104	*	Scaffold38	141677	141780	104	*
Scaffold10026	1112	1178	67	*	Scaffold391	341981	342047	67	*
Scaffold10026	1102	1180	79	*	Scaffold391	323813	323891	79	*
Scaffold10026	1076	1132	57	*	Scaffold400	284764	284820	57	*
Scaffold10026	1003	1068	66	*	Scaffold449	339549	339614	66	*
Scaffold10026	1101	1181	81	*	Scaffold501	545390	545470	81	*
Scaffold10026	1077	1177	101	*	Scaffold547	175626	175726	101	*
Scaffold10026	1080	1172	93	*	Scaffold559	458732	458824	93	*
Scaffold10026	1106	1176	71	*	Scaffold6055	2240	2310	71	*
Scaffold10026	1076	1180	105	*	Scaffold623	429772	429876	105	*
Scaffold10026	1012	1071	60	*	Scaffold658	14400	14459	60	*
Scaffold10026	1109	1176	68	*	Scaffold69	527721	527788	68	*
Scaffold10026	983	1040	58	*	Scaffold698	95502	95559	58	*
Scaffold10026	985	1042	58	*	Scaffold713	167645	167702	58	*
Scaffold10026	987	1064	78	*	Scaffold728	240426	240503	78	*
Scaffold10026	1101	1179	79	*	Scaffold730	186250	186328	79	*
Scaffold10026	1073	1125	53	*	Scaffold865	198160	198212	53	*
Scaffold10026	1117	1176	60	*	Scaffold88	667685	667744	60	*
Scaffold10026	986	1058	73	*	Scaffold90	452158	452230	73	*
Scaffold10026	998	1064	67	*	Scaffold96	185619	185685	67	*
Scaffold10026	1074	1177	104	*	Scaffold9603	365	468	104	*
Scaffold10026	993	1063	71	*	Scaffold999	106558	106628	71	*
Scaffold10026	1074	1177	104	*	Scaffold999	106449	106552	104	*
Scaffold100270	2	53	52	*	Scaffold1086	49518	49569	52	*
Scaffold100270	4	54	51	*	Scaffold96	708690	708740	51	*
Scaffold100287	602	659	58	*	Scaffold7	1705105	1705162	58	*
Scaffold1003	60568	60637	70	*	Scaffold668	59314	59383	70	*
Scaffold100346	77	126	50	*	Scaffold1539	270819	270868	50	*
Scaffold10038	29486	29615	130	*	Scaffold119	964288	964417	130	*
Scaffold10038	29326	29412	87	*	Scaffold119	964128	964214	87	*
Scaffold10038	29645	29706	62	*	Scaffold119	964447	964508	62	*
Scaffold10038	26341	26394	54	*	Scaffold516	466726	466779	54	*
Scaffold10039	31719	31779	61	*	Scaffold3554	17985	18045	61	*
Scaffold10039	17750	17800	51	*	Scaffold718	393266	393316	51	*
Scaffold10040	8750	8809	60	*	Scaffold122	963867	963926	60	*
Scaffold10040	6531	6648	118	*	Scaffold122	966211	966328	118	*
Scaffold10040	22232	22287	56	*	Scaffold122	951781	951836	56	*
Scaffold10040	4936	4985	50	*	Scaffold122	968250	968299	50	*
Scaffold10040	7114	7185	72	*	Scaffold122	965676	965747	72	*
Scaffold10040	6760	6854	95	*	Scaffold122	966005	966100	96	*
Scaffold10041	32252	32320	69	*	Scaffold396	432511	432579	69	*
Scaffold10041	32482	32550	69	*	Scaffold396	432511	432579	69	*
Scaffold10044	27543	27609	67	*	Scaffold400	83417	83483	67	*
Scaffold10044	24498	24574	77	*	Scaffold400	86218	86294	77	*
Scaffold10044	19568	19679	112	*	Scaffold400	90130	90241	112	*
Scaffold10044	19715	19775	61	*	Scaffold400	90033	90093	61	*
Scaffold10044	27685	27760	76	*	Scaffold400	83269	83344	76	*
Scaffold10044	4981	5039	59	*	Scaffold400	101626	101683	58	*
Scaffold10044	24376	24468	93	*	Scaffold400	86319	86411	93	*
Scaffold10044	48651	48719	69	*	Scaffold400	72686	72754	69	*
Scaffold10044	27762	27905	144	*	Scaffold400	83123	83267	145	*
Scaffold10044	11558	11641	84	*	Scaffold400	97214	97297	84	*
Scaffold10044	19398	19552	155	*	Scaffold400	90257	90411	155	*
Scaffold10044	18884	18953	70	*	Scaffold400	90836	90905	70	*
Scaffold10044	6217	6269	53	*	Scaffold400	100228	100280	53	*
Scaffold10044	11772	11889	118	*	Scaffold400	96964	97081	118	*
Scaffold10044	19085	19200	116	*	Scaffold400	90587	90701	115	*
Scaffold10046	3970	4041	72	*	Scaffold2283	41574	41645	72	*
Scaffold10049	1782	1835	54	*	Scaffold1081	142113	142166	54	*
Scaffold10049	53772	53837	66	*	Scaffold663	156759	156824	66	*
Scaffold10049	82431	82503	73	*	Scaffold663	130076	130148	73	*
Scaffold10049	87318	87372	55	*	Scaffold663	123645	123699	55	*
Scaffold10049	62071	62137	67	*	Scaffold663	148089	148155	67	*
Scaffold10049	76779	76853	75	*	Scaffold663	134946	135020	75	*
Scaffold10049	29245	29303	59	*	Scaffold663	178771	178829	59	*
Scaffold10049	24759	24811	53	*	Scaffold663	183511	183562	52	*
Scaffold10049	12434	12483	50	*	Scaffold663	191913	191962	50	*
Scaffold10049	16614	16697	84	*	Scaffold663	188144	188226	83	*
Scaffold10049	69385	69435	51	*	Scaffold663	139822	139871	50	*
Scaffold10049	50047	50104	58	*	Scaffold663	159872	159929	58	*
Scaffold10049	33753	33901	149	*	Scaffold663	174742	174891	150	*
Scaffold10049	35348	35424	77	*	Scaffold663	173068	173143	76	*
Scaffold10049	61979	62045	67	*	Scaffold663	148172	148238	67	*
Scaffold10049	5076	5144	69	*	Scaffold663	198479	198547	69	*
Scaffold10049	36592	36662	71	*	Scaffold663	171624	171694	71	*
Scaffold10049	65046	65112	67	*	Scaffold663	144965	145031	67	*
Scaffold10049	13771	13833	63	*	Scaffold663	190844	190906	63	*
Scaffold10049	26638	26711	74	*	Scaffold663	182169	182242	74	*
Scaffold1005	22203	22264	62	*	Scaffold1074	41319	41380	62	*
Scaffold1005	72687	72755	69	*	Scaffold1074	66303	66371	69	*
Scaffold1005	44623	44699	77	*	Scaffold1074	51889	51964	76	*
Scaffold1005	56366	56427	62	*	Scaffold1074	58428	58489	62	*
Scaffold1005	75226	75275	50	*	Scaffold1074	68287	68336	50	*
Scaffold1005	22780	22837	58	*	Scaffold1074	41945	42002	58	*
Scaffold1005	37806	37859	54	*	Scaffold1074	48029	48082	54	*
Scaffold10057	8254	8314	61	*	Scaffold152	11212	11272	61	*
Scaffold1006	34562	34678	117	*	Scaffold15285	25019	25135	117	*
Scaffold1006	55934	55992	59	*	Scaffold15285	11323	11382	60	*
