,chr,start,stop,length
0,NW_022145462.1,17922,18428,506
1,NW_022145462.1,18624,19843,1219
2,NW_022145511.1,31284,34574,3290
3,NW_022145514.1,1095771,1096230,459
4,NW_022145516.1,185151,229915,44764
5,NW_022145516.1,691166,696355,5189
6,NW_022145516.1,817668,821128,3460
7,NW_022145516.1,1012706,1013510,804
8,NW_022145516.1,1023997,1025464,1467
9,NW_022145519.1,207093,207182,89
10,NW_022145519.1,247698,247974,276
11,NW_022145519.1,372723,376092,3369
12,NW_022145520.1,587513,589042,1529
13,NW_022145520.1,591182,593359,2177
14,NW_022145520.1,863091,864050,959
15,NW_022145520.1,1106148,1111205,5057
16,NW_022145520.1,1563019,1599067,36048
17,NW_022145520.1,1783571,1784118,547
18,NW_022145521.1,526746,529534,2788
19,NW_022145521.1,675355,676918,1563
20,NW_022145523.1,182079,183057,978
21,NW_022145523.1,257214,258384,1170
22,NW_022145525.1,7316,9777,2461
23,NW_022145525.1,13648,18808,5160
24,NW_022145525.1,26666,27278,612
25,NW_022145525.1,323928,325115,1187
26,NW_022145526.1,187191,196616,9425
27,NW_022145526.1,668007,698847,30840
28,NW_022145526.1,703386,715084,11698
29,NW_022145526.1,723665,738399,14734
30,NW_022145526.1,947516,947779,263
31,NW_022145526.1,1027939,1030823,2884
32,NW_022145526.1,2036089,2043935,7846
33,NW_022145528.1,411948,413747,1799
34,NW_022145530.1,654526,656788,2262
35,NW_022145532.1,691000,701212,10212
36,NW_022145533.1,119436,121006,1570
37,NW_022145534.1,97508,97614,106
38,NW_022145534.1,112687,113464,777
39,NW_022145539.1,321445,325900,4455
40,NW_022145539.1,1569607,1571280,1673
41,NW_022145539.1,1612985,1616940,3955
42,NW_022145540.1,247345,249769,2424
43,NW_022145541.1,510616,512201,1585
44,NW_022145541.1,1012655,1014667,2012
45,NW_022145543.1,412263,413938,1675
46,NW_022145543.1,633863,634168,305
47,NW_022145544.1,1724928,1724929,1
48,NW_022145545.1,62349,80602,18253
49,NW_022145545.1,699016,700212,1196
50,NW_022145545.1,1166764,1170523,3759
51,NW_022145545.1,1531813,1534975,3162
52,NW_022145547.1,355836,355939,103
53,NW_022145547.1,751604,757255,5651
54,NW_022145547.1,1276133,1278218,2085
55,NW_022145548.1,715513,717090,1577
56,NW_022145549.1,690371,694355,3984
57,NW_022145550.1,842804,844594,1790
58,NW_022145550.1,1321393,1322961,1568
59,NW_022145551.1,686134,686296,162
60,NW_022145551.1,1405094,1405108,14
61,NW_022145551.1,1406042,1409186,3144
62,NW_022145551.1,1975432,1977860,2428
63,NW_022145551.1,2169777,2172692,2915
64,NW_022145551.1,2707559,2711254,3695
65,NW_022145551.1,2721272,2728385,7113
66,NW_022145551.1,2728420,2731659,3239
67,NW_022145552.1,1194124,1195599,1475
68,NW_022145552.1,1291583,1295698,4115
69,NW_022145552.1,1865618,1867087,1469
70,NW_022145552.1,2148274,2150906,2632
71,NW_022145552.1,2161899,2169391,7492
72,NW_022145554.1,407871,410111,2240
73,NW_022145554.1,1540631,1543144,2513
74,NW_022145554.1,1950507,1952861,2354
75,NW_022145554.1,1959025,1960315,1290
76,NW_022145554.1,1965112,1966335,1223
77,NW_022145555.1,76866,76890,24
78,NW_022145555.1,399543,401145,1602
79,NW_022145555.1,551037,552704,1667
80,NW_022145559.1,958374,966666,8292
81,NW_022145560.1,403525,404661,1136
82,NW_022145560.1,473429,474877,1448
83,NW_022145560.1,807666,811346,3680
84,NW_022145561.1,244487,246924,2437
85,NW_022145561.1,253015,255221,2206
86,NW_022145561.1,251716,252683,967
87,NW_022145561.1,962650,968487,5837
88,NW_022145562.1,204870,205135,265
89,NW_022145562.1,205747,208470,2723
90,NW_022145563.1,932276,933829,1553
91,NW_022145563.1,1021676,1024317,2641
92,NW_022145563.1,1238419,1241886,3467
93,NW_022145564.1,64377,91134,26757
94,NW_022145564.1,114176,114933,757
95,NW_022145564.1,492443,493114,671
96,NW_022145564.1,498146,514129,15983
97,NW_022145565.1,191268,191664,396
98,NW_022145566.1,586445,588384,1939
99,NW_022145566.1,709386,711980,2594
100,NW_022145566.1,1104044,1104983,939
101,NW_022145566.1,1804842,1807063,2221
102,NW_022145566.1,2761757,2763962,2205
103,NW_022145567.1,84400,126761,42361
104,NW_022145567.1,131283,142527,11244
105,NW_022145567.1,148060,166233,18173
106,NW_022145567.1,174799,203717,28918
107,NW_022145567.1,208392,231812,23420
108,NW_022145567.1,258745,279261,20516
109,NW_022145567.1,287519,311228,23709
110,NW_022145567.1,157586,162394,4808
111,NW_022145567.1,227412,230196,2784
112,NW_022145569.1,126115,127186,1071
113,NW_022145569.1,292617,294027,1410
114,NW_022145569.1,326788,329361,2573
115,NW_022145569.1,398775,401794,3019
116,NW_022145569.1,450974,483298,32324
117,NW_022145569.1,486427,490839,4412
118,NW_022145570.1,656832,657360,528
119,NW_022145570.1,712394,717359,4965
120,NW_022145570.1,1150924,1152817,1893
