yourlist:M202202224ABAA9BC7178C81CEBC9459510EDDEA342BAF8Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC100892981	A0A7M7GFT5	A0A7M7GFT5_STRPU	unreviewed	RING-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	398
LOC100888455	A0A7M7NE26	A0A7M7NE26_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	242
LOC582578	A0A7M7GJV4	A0A7M7GJV4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	555
LOC100891720	A0A7M7P8N7	A0A7M7P8N7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	917
LOC100891720	A0A7M7PA60	A0A7M7PA60_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	498
LOC100891720	A0A7M7T1V0	A0A7M7T1V0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	937
LOC100891720	A0A7M7T1W6	A0A7M7T1W6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	535
LOC763081	A0A7M7GM38	A0A7M7GM38_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	484
LOC574758	A0A7M7TG11	A0A7M7TG11_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	291
LOC115927280	A0A7M7PBC2	A0A7M7PBC2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	191
LOC115924308	A0A7M7NVD3	A0A7M7NVD3_STRPU	unreviewed	Aa_trans domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	514
LOC581364	A0A7M7TGJ0	A0A7M7TGJ0_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	425
LOC105446704	A0A7M7SUK8	A0A7M7SUK8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	399
LOC579441	A0A7M7PFC0	A0A7M7PFC0_STRPU	unreviewed	Glycine N-methyltransferase (EC 2.1.1.20)		Strongylocentrotus purpuratus (Purple sea urchin)	291
LOC100890608	A0A7M7NX82	A0A7M7NX82_STRPU	unreviewed	NtA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC592174	A0A7M7GFR7	A0A7M7GFR7_STRPU	unreviewed	AAA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	190
LOC100893564	A0A7M7SZ28	A0A7M7SZ28_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	846
LOC589938	A0A7M7STP9	A0A7M7STP9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	626
LOC115917941	A0A7M7HIK0	A0A7M7HIK0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	103
LOC105445121	A0A7M7NT13	A0A7M7NT13_STRPU	unreviewed	Sushi domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	416
