,chr,start,stop
0,Scaffold1,17928.0,18074.0
1,Scaffold1,23694.0,23781.0
2,Scaffold1,23844.0,23897.0
3,Scaffold1,96628.0,96708.0
4,Scaffold1,237940.0,237990.0
5,Scaffold1,273261.0,273325.0
6,Scaffold1,340354.0,340414.0
7,Scaffold1,346742.0,346817.0
8,Scaffold1,412450.0,412501.0
9,Scaffold1,420347.0,420401.0
10,Scaffold1,420567.0,420636.0
11,Scaffold1,439737.0,439787.0
12,Scaffold1,450270.0,450331.0
13,Scaffold1,452085.0,452144.0
14,Scaffold1,454187.0,454237.0
15,Scaffold1,463770.0,463821.0
16,Scaffold1,521776.0,521861.0
17,Scaffold1,561376.0,561449.0
18,Scaffold1,604190.0,604368.0
19,Scaffold1,608242.0,608348.0
20,Scaffold1,643293.0,643359.0
21,Scaffold1,658471.0,658533.0
22,Scaffold1,678958.0,679008.0
23,Scaffold1,711734.0,711795.0
24,Scaffold1,734458.0,734526.0
25,Scaffold1,824561.0,824654.0
26,Scaffold1,872428.0,872479.0
27,Scaffold1,879223.0,879280.0
28,Scaffold1,913530.0,913583.0
29,Scaffold1,924314.0,924367.0
30,Scaffold1,933288.0,933365.0
31,Scaffold1,933606.0,933670.0
32,Scaffold1,1018928.0,1018981.0
33,Scaffold1,1067020.0,1067108.0
34,Scaffold1,1068079.0,1068129.0
35,Scaffold1,1068221.0,1068347.0
36,Scaffold1,1077849.0,1077915.0
37,Scaffold1,1078637.0,1078743.0
38,Scaffold1,1080964.0,1081090.0
39,Scaffold1,1084182.0,1084261.0
40,Scaffold1,1087089.0,1087140.0
41,Scaffold1,1092028.0,1092116.0
42,Scaffold1,1094781.0,1094891.0
43,Scaffold1,1096206.0,1096277.0
44,Scaffold1,1096295.0,1096351.0
45,Scaffold1,1116399.0,1116457.0
46,Scaffold1,1477044.0,1477094.0
47,Scaffold1,1480087.0,1480139.0
48,Scaffold1,1533861.0,1533930.0
49,Scaffold1,1589942.0,1590061.0
50,Scaffold1,1590099.0,1590154.0
51,Scaffold1,1608782.0,1608861.0
52,Scaffold1,1715440.0,1715504.0
53,Scaffold10,30677.0,30733.0
54,Scaffold10,32234.0,32303.0
55,Scaffold10,34893.0,34957.0
56,Scaffold10,36184.0,36311.0
57,Scaffold10,36676.0,36734.0
58,Scaffold10,36829.0,36933.0
59,Scaffold10,44544.0,44620.0
60,Scaffold10,53898.0,53983.0
61,Scaffold10,58051.0,58113.0
62,Scaffold10,89681.0,89746.0
63,Scaffold10,92114.0,92204.0
64,Scaffold10,98275.0,98331.0
65,Scaffold10,119407.0,119459.0
66,Scaffold10,140797.0,140848.0
67,Scaffold10,164196.0,164264.0
68,Scaffold10,174355.0,174409.0
69,Scaffold10,213644.0,213695.0
70,Scaffold10,231674.0,231728.0
71,Scaffold10,233549.0,233605.0
72,Scaffold10,244924.0,244988.0
73,Scaffold10,244991.0,245053.0
74,Scaffold10,253081.0,253153.0
75,Scaffold10,361798.0,361848.0
76,Scaffold10,374426.0,374475.0
77,Scaffold10,383771.0,383822.0
78,Scaffold10,392130.0,392188.0
79,Scaffold10,393084.0,393172.0
80,Scaffold10,408243.0,408369.0
81,Scaffold10,460535.0,460584.0
82,Scaffold10,502855.0,502906.0
83,Scaffold10,513383.0,513433.0
84,Scaffold10,688278.0,688342.0
85,Scaffold10,691188.0,691237.0
86,Scaffold10,723439.0,723498.0
87,Scaffold10,723991.0,724079.0
88,Scaffold10,724540.0,724597.0
89,Scaffold10,730434.0,730493.0
90,Scaffold10,732758.0,732810.0
91,Scaffold10,733640.0,733692.0
92,Scaffold10,754768.0,754866.0
93,Scaffold10,757718.0,757768.0
94,Scaffold10,758299.0,758368.0
95,Scaffold10,759177.0,759226.0
96,Scaffold10,790258.0,790327.0
97,Scaffold10,790687.0,790736.0
98,Scaffold10,883712.0,883797.0
99,Scaffold10,883850.0,883927.0
100,Scaffold10,884540.0,884592.0
101,Scaffold10,884690.0,884739.0
102,Scaffold10,885162.0,885212.0
103,Scaffold10,885311.0,885366.0
104,Scaffold10,885446.0,885505.0
105,Scaffold10,885530.0,885582.0
106,Scaffold10,885770.0,885828.0
107,Scaffold10,916445.0,916530.0
108,Scaffold10,917812.0,917874.0
109,Scaffold10,917994.0,918043.0
110,Scaffold10,925479.0,925541.0
111,Scaffold10,927845.0,927927.0
112,Scaffold10,927955.0,928005.0
113,Scaffold10,928867.0,928919.0
114,Scaffold10,1009214.0,1009270.0
115,Scaffold10,1105594.0,1105644.0
116,Scaffold10,1119361.0,1119413.0
117,Scaffold10,1124420.0,1124521.0
