chr,start,stop
NC_001453.1,1.0,73.0
NC_001453.1,74.0,16484.0
NW_003576962.1,11703.0,20488.0
NW_003576962.1,52356.0,75883.0
NW_003576962.1,76253.0,94924.0
NW_003576962.1,109548.0,121980.0
NW_003576962.1,125200.0,174708.0
NW_003576962.1,177023.0,183643.0
NW_003576962.1,192081.0,384808.0
NW_003576962.1,388051.0,399111.0
NW_003576962.1,400644.0,475550.0
NW_003576962.1,485740.0,503316.0
NW_003576962.1,510261.0,526431.0
NW_003576962.1,531746.0,575557.0
NW_003576962.1,577420.0,604030.0
NW_003576962.1,663511.0,707056.0
NW_003576962.1,727321.0,735525.0
NW_003576962.1,739654.0,780049.0
NW_003576962.1,799090.0,809008.0
NW_003576962.1,811561.0,824513.0
NW_003576962.1,832756.0,845731.0
NW_003576962.1,846258.0,862526.0
NW_003576962.1,863534.0,881822.0
NW_003576962.1,884664.0,902127.0
NW_003576962.1,909761.0,913676.0
NW_003576962.1,917372.0,924460.0
NW_003576962.1,930981.0,940786.0
NW_003576962.1,946277.0,959792.0
NW_003576962.1,1000618.0,1059959.0
NW_003576962.1,1070970.0,1113942.0
NW_003576962.1,1124126.0,1146455.0
NW_003576962.1,1146629.0,1176893.0
NW_003576962.1,1182504.0,1196932.0
NW_003576962.1,1198783.0,1207307.0
NW_003576962.1,1282381.0,1423239.0
NW_003576962.1,1425572.0,1430872.0
NW_003576962.1,1436486.0,1452420.0
NW_003576962.1,1456827.0,1472431.0
NW_003576962.1,1476539.0,1482118.0
NW_003576962.1,1487753.0,1503309.0
NW_003576962.1,1508096.0,1524876.0
NW_003576962.1,1529973.0,1593280.0
NW_003576962.1,1598783.0,1610164.0
NW_003576962.1,1612376.0,1645229.0
NW_003576962.1,1647974.0,1669722.0
NW_003576962.1,1676036.0,1691973.0
NW_003576962.1,1731775.0,1757898.0
NW_003576962.1,1871296.0,1881905.0
NW_003576962.1,1882911.0,1887232.0
NW_003576962.1,1887864.0,1892362.0
NW_003576962.1,1927729.0,1953608.0
NW_003576962.1,1971614.0,2033551.0
NW_003576962.1,2072697.0,2128524.0
NW_003576963.1,57959.0,66978.0
NW_003576963.1,70084.0,82562.0
NW_003576963.1,85005.0,108793.0
NW_003576963.1,118585.0,147098.0
NW_003576963.1,149302.0,186667.0
NW_003576963.1,190645.0,233732.0
NW_003576963.1,237151.0,263622.0
NW_003576963.1,269323.0,306573.0
NW_003576963.1,382983.0,436911.0
NW_003576963.1,436981.0,441409.0
NW_003576963.1,446529.0,474693.0
